time,frequency,confidence
3.350,391.570,0.937899
3.360,391.473,0.935138
3.370,391.307,0.933812
3.380,391.568,0.937979
3.390,391.885,0.949393
3.400,392.305,0.960890
3.410,392.918,0.965910
3.420,393.158,0.969922
3.430,393.544,0.968586
3.440,393.704,0.968173
3.450,393.519,0.969500
3.460,393.342,0.965605
3.470,392.828,0.964999
3.480,392.312,0.960918
3.490,392.076,0.951425
3.500,391.559,0.938863
3.510,391.647,0.940087
3.520,391.481,0.937779
3.530,391.766,0.945590
3.540,391.801,0.947307
3.550,392.080,0.955960
3.560,392.235,0.959643
3.570,392.517,0.963707
3.580,392.901,0.964921
3.590,392.874,0.968486
3.600,393.231,0.967711
3.610,393.362,0.964869
3.620,393.467,0.962243
3.630,393.574,0.962024
3.640,393.473,0.961741
3.650,393.593,0.960411
3.660,393.647,0.958567
3.670,393.298,0.957699
3.680,392.970,0.956237
3.690,392.888,0.953410
3.700,392.452,0.945899
3.710,392.317,0.938256
3.720,392.559,0.936687
3.730,392.301,0.906365
3.740,393.245,0.734790
3.750,411.750,0.253772
3.760,440.702,0.729554
3.770,439.488,0.904081
3.780,439.927,0.952548
3.790,440.304,0.967122
3.800,440.393,0.971692
3.810,440.538,0.973703
3.820,440.418,0.976080
3.830,440.509,0.976803
3.840,440.506,0.977889
3.850,440.406,0.977918
3.860,440.486,0.978508
3.870,440.277,0.977560
3.880,440.018,0.975531
3.890,439.708,0.971909
3.900,439.360,0.967671
3.910,439.382,0.967368
3.920,439.134,0.964224
3.930,439.200,0.965338
3.940,439.408,0.967787
3.950,439.421,0.968833
3.960,439.778,0.972870
3.970,439.936,0.975991
3.980,440.246,0.978469
3.990,440.558,0.980886
4.000,440.479,0.979835
4.010,440.435,0.979589
4.020,440.190,0.978317
4.030,439.941,0.975846
4.040,439.882,0.975539
4.050,439.478,0.970257
4.060,439.358,0.968949
4.070,439.084,0.963048
4.080,438.788,0.955951
4.090,438.924,0.959292
4.100,438.625,0.951659
4.110,438.758,0.954117
4.120,439.052,0.960549
4.130,439.318,0.966991
4.140,440.026,0.975519
4.150,440.432,0.979834
4.160,441.084,0.981504
4.170,441.722,0.981200
4.180,441.980,0.980936
4.190,442.248,0.978616
4.200,442.090,0.979066
4.210,441.837,0.979827
4.220,441.500,0.980720
4.230,441.045,0.981224
4.240,440.793,0.981031
4.250,440.291,0.978635
4.260,440.089,0.977012
4.270,439.895,0.974650
4.280,439.545,0.969962
4.290,439.641,0.971996
4.300,439.332,0.966814
4.310,439.404,0.967846
4.320,439.367,0.966600
4.330,439.272,0.963694
4.340,439.466,0.967753
4.350,439.210,0.964040
4.360,439.276,0.964271
4.370,439.509,0.967732
4.380,439.567,0.969106
4.390,440.106,0.974350
4.400,440.391,0.976820
4.410,440.733,0.977886
4.420,441.111,0.977768
4.430,441.003,0.976654
4.440,441.007,0.975815
4.450,440.479,0.970054
4.460,440.059,0.962112
4.470,439.988,0.956723
4.480,440.196,0.934915
4.490,442.097,0.900493
4.500,486.067,0.495179
4.510,493.063,0.861531
4.520,494.256,0.933977
4.530,494.211,0.961236
4.540,493.829,0.966308
4.550,493.703,0.967249
4.560,493.752,0.970016
4.570,493.722,0.973121
4.580,493.814,0.976526
4.590,494.068,0.978276
4.600,494.219,0.976937
4.610,494.779,0.976839
4.620,495.075,0.977496
4.630,494.839,0.977386
4.640,494.493,0.975312
4.650,494.277,0.973994
4.660,493.732,0.971010
4.670,493.463,0.968205
4.680,493.263,0.965796
4.690,493.427,0.965938
4.700,493.882,0.968995
4.710,494.111,0.970433
4.720,494.439,0.974161
4.730,494.849,0.978238
4.740,494.955,0.980374
4.750,494.949,0.981404
4.760,494.819,0.981253
4.770,494.393,0.979127
4.780,494.223,0.976811
4.790,494.306,0.975524
4.800,494.236,0.973016
4.810,494.102,0.970351
4.820,494.156,0.971878
4.830,493.939,0.972515
4.840,493.685,0.970093
4.850,493.584,0.970206
4.860,493.696,0.970846
4.870,494.113,0.973274
4.880,494.334,0.973177
4.890,494.321,0.973335
4.900,494.536,0.976439
4.910,494.594,0.978705
4.920,494.430,0.979024
4.930,494.361,0.979555
4.940,494.253,0.978721
4.950,494.351,0.977730
4.960,494.689,0.977463
4.970,494.794,0.976550
4.980,494.723,0.976122
4.990,494.705,0.976923
5.000,494.743,0.978194
5.010,494.420,0.977405
5.020,494.126,0.976532
5.030,493.826,0.973760
5.040,493.719,0.969874
5.050,493.878,0.969129
5.060,493.872,0.966861
5.070,493.850,0.967647
5.080,493.952,0.971137
5.090,493.698,0.970585
5.100,493.412,0.967544
5.110,493.306,0.965223
5.120,493.336,0.963525
5.130,493.553,0.963633
5.140,493.845,0.964638
5.150,494.174,0.969513
5.160,494.156,0.970419
5.170,494.042,0.968404
5.180,494.044,0.968455
5.190,494.055,0.967844
5.200,494.090,0.964141
5.210,494.290,0.961179
5.220,494.708,0.961610
5.230,495.076,0.950247
5.240,494.916,0.873790
5.250,525.158,0.387578
5.260,524.140,0.783566
5.270,523.969,0.901601
5.280,524.336,0.937395
5.290,524.955,0.949339
